order,Delay,Test.Time,Participant.Private.ID,lure_word,original_response,lure_recalled
157,delay,AM,8235017,slow,NA,0
158,delay,AM,8235017,river,NA,0
159,delay,AM,8235017,spider,spider,1
160,delay,AM,8235017,foot,NA,0
161,delay,AM,8367650,window,NA,0
162,delay,AM,8367650,sleep,NA,0
163,delay,AM,8367650,doctor,NA,0
164,delay,AM,8367650,smell,NA,0
165,delay,AM,8367650,chair,NA,0
166,delay,AM,8367650,smoke,NA,0
167,delay,AM,8367650,sweet,NA,0
168,delay,AM,8367650,rough,NA,0
169,delay,AM,8367650,needle,needle,1
170,delay,AM,8367650,rubbish,NA,0
171,delay,AM,8367650,anger,NA,0
172,delay,AM,8367650,soft,NA,0
173,delay,AM,8367650,city,NA,0
174,delay,AM,8367650,cup,NA,0
175,delay,AM,8367650,cold,NA,0
176,delay,AM,8367650,mountain,NA,0
177,delay,AM,8367650,slow,NA,0
178,delay,AM,8367650,river,NA,0
179,delay,AM,8367650,spider,NA,0
180,delay,AM,8367650,foot,NA,0
181,delay,AM,8367283,window,NA,0
182,delay,AM,8367283,sleep,sleep,1
183,delay,AM,8367283,doctor,NA,0
184,delay,AM,8367283,smell,smell,1
185,delay,AM,8367283,chair,chair,1
186,delay,AM,8367283,smoke,smoke,1
187,delay,AM,8367283,sweet,NA,0
188,delay,AM,8367283,rough,rough,1
189,delay,AM,8367283,needle,NA,0
190,delay,AM,8367283,rubbish,NA,0
191,delay,AM,8367283,anger,anger,1
192,delay,AM,8367283,soft,soft,1
193,delay,AM,8367283,city,city,1
194,delay,AM,8367283,cup,NA,0
195,delay,AM,8367283,cold,cold,1
196,delay,AM,8367283,mountain,NA,0
197,delay,AM,8367283,slow,NA,0
198,delay,AM,8367283,river,NA,0
199,delay,AM,8367283,spider,spider,1
200,delay,AM,8367283,foot,foot,1
201,delay,AM,8389380,window,NA,0
202,delay,AM,8389380,sleep,NA,0
203,delay,AM,8389380,doctor,NA,0
204,delay,AM,8389380,smell,NA,0
205,delay,AM,8389380,chair,NA,0
206,delay,AM,8389380,smoke,NA,0
207,delay,AM,8389380,sweet,NA,0
208,delay,AM,8389380,rough,NA,0
209,delay,AM,8389380,needle,NA,0
210,delay,AM,8389380,rubbish,NA,0
211,delay,AM,8389380,anger,NA,0
212,delay,AM,8389380,soft,NA,0
213,delay,AM,8389380,city,NA,0
214,delay,AM,8389380,cup,NA,0
